epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3869,2.70391,5.75345,0.01247,0.01509,0.54667,0.05846,0.01834,1.79142,5.45954,0.00626,0.00032,0.00032,0.00032
2,31.8027,1.45074,3.75037,0.00581,0.02195,0.84261,0.27052,0.09615,1.60234,4.5601,0.00548,0.000643565,0.000643565,0.000643565
3,38.5546,1.36093,2.95489,0.00537,0.66737,0.16416,0.4159,0.1466,1.78667,3.94689,0.00621,0.000960596,0.000960596,0.000960596
4,45.5639,1.33104,2.41003,0.00523,0.74326,0.40132,0.60846,0.37721,1.36568,2.96628,0.00447,0.0009703,0.0009703,0.0009703
5,52.7994,1.29741,2.06996,0.00512,0.64261,0.60516,0.66484,0.38163,1.50426,2.32774,0.00501,0.0009604,0.0009604,0.0009604
6,59.8969,1.30287,1.80119,0.00514,0.66339,0.64232,0.70827,0.46824,1.25895,1.89766,0.00417,0.0009505,0.0009505,0.0009505
7,66.6716,1.25292,1.57197,0.00487,0.68639,0.68395,0.73618,0.29521,2.08895,1.90637,0.00744,0.0009406,0.0009406,0.0009406
8,73.4304,1.24487,1.47725,0.00486,0.71243,0.73373,0.80033,0.45932,1.55271,1.51462,0.00527,0.0009307,0.0009307,0.0009307
9,80.3029,1.21025,1.30594,0.00473,0.72814,0.72792,0.81033,0.53621,1.25184,1.29313,0.00407,0.0009208,0.0009208,0.0009208
10,87.0035,1.16022,1.22131,0.00453,0.78227,0.73395,0.83377,0.56482,1.23064,1.17348,0.00412,0.0009109,0.0009109,0.0009109
11,93.6141,1.17693,1.17319,0.0046,0.76306,0.79456,0.85429,0.58859,1.16411,1.08297,0.00381,0.000901,0.000901,0.000901
12,100.234,1.16608,1.12283,0.00455,0.83005,0.79431,0.88002,0.59898,1.19534,0.99521,0.00394,0.0008911,0.0008911,0.0008911
13,107.071,1.12412,1.05302,0.00433,0.83773,0.81702,0.88368,0.58904,1.23355,0.91354,0.00404,0.0008812,0.0008812,0.0008812
14,114.115,1.12194,1.03072,0.00442,0.7995,0.83739,0.88696,0.59802,1.20384,0.92969,0.00386,0.0008713,0.0008713,0.0008713
15,121.001,1.12912,1.00488,0.00438,0.84551,0.80785,0.89368,0.63609,1.08388,0.81944,0.00354,0.0008614,0.0008614,0.0008614
16,127.766,1.13415,1.00679,0.00437,0.89109,0.82146,0.91376,0.60153,1.26449,0.77386,0.00414,0.0008515,0.0008515,0.0008515
17,134.68,1.10331,0.93062,0.00431,0.86711,0.83111,0.90923,0.61295,1.22634,0.78219,0.00398,0.0008416,0.0008416,0.0008416
18,141.384,1.07837,0.911,0.00414,0.85074,0.84725,0.91647,0.60309,1.27994,0.80385,0.00425,0.0008317,0.0008317,0.0008317
19,148.169,1.09363,0.90349,0.00422,0.875,0.84666,0.91979,0.55266,1.48709,0.80025,0.00499,0.0008218,0.0008218,0.0008218
20,154.86,1.13443,0.9034,0.00434,0.88236,0.83841,0.9255,0.64722,1.12472,0.74871,0.00365,0.0008119,0.0008119,0.0008119
21,161.93,1.06588,0.89996,0.00412,0.85217,0.86723,0.91564,0.60776,1.22276,0.80247,0.00402,0.000802,0.000802,0.000802
22,168.953,1.07614,0.87527,0.00415,0.89066,0.83882,0.92302,0.62579,1.1823,0.7462,0.00389,0.0007921,0.0007921,0.0007921
23,175.928,1.0653,0.83659,0.0041,0.90416,0.87186,0.94191,0.62415,1.25908,0.70014,0.00415,0.0007822,0.0007822,0.0007822
24,182.812,1.06672,0.85328,0.00408,0.89509,0.86175,0.9375,0.6508,1.15609,0.6759,0.00378,0.0007723,0.0007723,0.0007723
25,189.821,1.04506,0.82597,0.00399,0.87257,0.86178,0.92416,0.65699,1.06765,0.69385,0.0035,0.0007624,0.0007624,0.0007624
26,196.477,1.05285,0.80624,0.00406,0.88692,0.87973,0.9409,0.61815,1.26846,0.68817,0.0042,0.0007525,0.0007525,0.0007525
27,203.162,1.06929,0.82624,0.00412,0.92764,0.85356,0.94424,0.67993,1.04262,0.58353,0.00339,0.0007426,0.0007426,0.0007426
28,210.067,1.0408,0.80674,0.00402,0.91569,0.87841,0.94523,0.67037,1.10123,0.59053,0.0036,0.0007327,0.0007327,0.0007327
29,216.643,1.06422,0.80633,0.00412,0.91606,0.87562,0.94569,0.6734,1.08281,0.60551,0.0035,0.0007228,0.0007228,0.0007228
30,223.25,1.03396,0.82008,0.00398,0.88791,0.89394,0.9483,0.65982,1.11956,0.59131,0.00365,0.0007129,0.0007129,0.0007129
31,229.81,1.01982,0.78316,0.00396,0.92415,0.86127,0.94699,0.69878,0.97554,0.56796,0.00314,0.000703,0.000703,0.000703
32,236.678,1.02573,0.77684,0.004,0.89473,0.86903,0.94309,0.68436,1.02691,0.6025,0.00332,0.0006931,0.0006931,0.0006931
33,243.329,1.04137,0.78385,0.004,0.9182,0.89137,0.95269,0.69598,0.9914,0.53729,0.00321,0.0006832,0.0006832,0.0006832
34,249.976,1.01256,0.76064,0.00391,0.92331,0.89952,0.95628,0.67532,1.10296,0.52523,0.00359,0.0006733,0.0006733,0.0006733
35,256.593,1.01532,0.74123,0.0039,0.91392,0.88628,0.95496,0.71646,0.9454,0.54412,0.00307,0.0006634,0.0006634,0.0006634
36,263.387,1.03557,0.74992,0.00395,0.92092,0.89323,0.95226,0.70282,0.98147,0.56077,0.00317,0.0006535,0.0006535,0.0006535
37,270.289,1.02361,0.7359,0.00398,0.89876,0.87332,0.94625,0.66534,1.09988,0.66554,0.00354,0.0006436,0.0006436,0.0006436
38,276.973,0.99504,0.73463,0.00381,0.93216,0.89634,0.95996,0.66892,1.13553,0.5319,0.00364,0.0006337,0.0006337,0.0006337
39,283.942,0.99403,0.72328,0.00383,0.92073,0.89373,0.95612,0.71223,0.96006,0.53638,0.00305,0.0006238,0.0006238,0.0006238
40,290.936,0.98499,0.73474,0.00374,0.88767,0.88685,0.94814,0.67205,1.09348,0.60557,0.00354,0.0006139,0.0006139,0.0006139
41,297.705,0.98028,0.72762,0.00377,0.91798,0.90287,0.96005,0.69473,1.04755,0.4947,0.00336,0.000604,0.000604,0.000604
42,304.467,0.97678,0.70357,0.00373,0.9047,0.91783,0.95689,0.70432,0.98611,0.50745,0.00319,0.0005941,0.0005941,0.0005941
43,311.157,0.97364,0.6742,0.00374,0.94064,0.9092,0.95934,0.6527,1.19626,0.55114,0.00392,0.0005842,0.0005842,0.0005842
44,317.815,0.97895,0.70998,0.00376,0.93404,0.92171,0.96407,0.70626,1.01257,0.47502,0.00329,0.0005743,0.0005743,0.0005743
45,324.446,0.98309,0.70462,0.00379,0.94028,0.90161,0.96157,0.64905,1.21441,0.5404,0.00396,0.0005644,0.0005644,0.0005644
