epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,234.628,0.89933,0.57677,0.98105,0.91709,0.90246,0.95903,0.68858,1.0001,0.7095,0.95203,0.0005941,0.0005941,0.0005941
43,240.086,0.88262,0.56771,0.98304,0.94589,0.92916,0.95962,0.70219,0.9855,0.57539,0.93672,0.0005842,0.0005842,0.0005842
44,245.534,0.87458,0.57058,0.97978,0.94595,0.91606,0.96658,0.62825,1.27944,0.61604,1.00856,0.0005743,0.0005743,0.0005743
45,250.991,0.88976,0.56815,0.98471,0.93955,0.93484,0.96387,0.66548,1.09604,0.59136,0.96028,0.0005644,0.0005644,0.0005644
46,256.503,0.87399,0.55613,0.97604,0.93821,0.93926,0.96691,0.68665,1.03015,0.56801,0.9493,0.0005545,0.0005545,0.0005545
47,261.966,0.88365,0.56239,0.97877,0.94482,0.93998,0.97496,0.64687,1.21146,0.59318,0.98454,0.0005446,0.0005446,0.0005446
48,267.499,0.86266,0.55029,0.97526,0.93932,0.9369,0.96962,0.70186,0.98189,0.55087,0.93255,0.0005347,0.0005347,0.0005347
49,272.953,0.8702,0.54829,0.97991,0.9579,0.93367,0.97506,0.73275,0.8883,0.53347,0.92467,0.0005248,0.0005248,0.0005248
50,278.563,0.86626,0.55089,0.97699,0.94084,0.95357,0.9719,0.64475,1.20661,0.57296,0.98058,0.0005149,0.0005149,0.0005149
51,284.005,0.87693,0.55621,0.98289,0.91523,0.90362,0.95665,0.72044,0.90378,0.61441,0.92618,0.000505,0.000505,0.000505
52,289.487,0.86844,0.55369,0.97766,0.94763,0.93313,0.97438,0.73383,0.91312,0.56252,0.92328,0.0004951,0.0004951,0.0004951
53,294.934,0.84885,0.53385,0.96739,0.9408,0.93281,0.97395,0.71233,0.97469,0.53998,0.92959,0.0004852,0.0004852,0.0004852
54,300.461,0.85691,0.54027,0.97029,0.94734,0.92732,0.9674,0.72196,0.93642,0.54085,0.92969,0.0004753,0.0004753,0.0004753
55,305.923,0.85166,0.53323,0.9735,0.95257,0.9529,0.97968,0.70237,1.01988,0.51291,0.94138,0.0004654,0.0004654,0.0004654
56,311.42,0.85036,0.53346,0.96779,0.95334,0.93898,0.97829,0.72658,0.92829,0.51187,0.91961,0.0004555,0.0004555,0.0004555
57,316.855,0.84339,0.52672,0.97052,0.95263,0.94176,0.97309,0.66744,1.11804,0.56715,0.96365,0.0004456,0.0004456,0.0004456
58,322.497,0.87356,0.53869,0.97987,0.94737,0.94359,0.97502,0.73373,0.89822,0.51717,0.91831,0.0004357,0.0004357,0.0004357
59,328.019,0.84289,0.51628,0.97168,0.96238,0.94984,0.97649,0.7038,1.03116,0.51676,0.93717,0.0004258,0.0004258,0.0004258
60,333.534,0.84486,0.5229,0.96466,0.94613,0.94623,0.97506,0.75043,0.83376,0.50564,0.90922,0.0004159,0.0004159,0.0004159
61,339.003,0.84006,0.5226,0.97165,0.95702,0.93134,0.96946,0.72445,0.92458,0.52048,0.92087,0.000406,0.000406,0.000406
62,344.496,0.84081,0.51284,0.96444,0.94712,0.94486,0.96658,0.66329,1.12951,0.54858,0.96322,0.0003961,0.0003961,0.0003961
63,349.967,0.84441,0.51532,0.96424,0.95713,0.93676,0.97573,0.71282,1.00074,0.52779,0.93359,0.0003862,0.0003862,0.0003862
64,355.448,0.8374,0.50665,0.96585,0.94325,0.95772,0.97545,0.67434,1.12704,0.5407,0.96344,0.0003763,0.0003763,0.0003763
65,360.903,0.83591,0.50652,0.96658,0.96112,0.95007,0.98027,0.71234,1.01164,0.48856,0.9392,0.0003664,0.0003664,0.0003664
66,366.395,0.84447,0.51733,0.96841,0.95953,0.95927,0.97447,0.71259,0.98975,0.50085,0.93353,0.0003565,0.0003565,0.0003565
67,371.935,0.83748,0.50393,0.96859,0.95235,0.94866,0.97408,0.74146,0.86946,0.50506,0.91141,0.0003466,0.0003466,0.0003466
68,377.442,0.83392,0.50377,0.96385,0.94688,0.95248,0.97183,0.72216,0.93539,0.51782,0.92418,0.0003367,0.0003367,0.0003367
69,382.932,0.82478,0.50354,0.95736,0.96299,0.95465,0.97381,0.7262,0.93511,0.48529,0.91965,0.0003268,0.0003268,0.0003268
70,388.417,0.83425,0.50432,0.96612,0.95995,0.96445,0.97811,0.6519,1.21896,0.52455,0.98837,0.0003169,0.0003169,0.0003169
71,393.872,0.83166,0.49615,0.96267,0.95638,0.95673,0.97501,0.73142,0.89316,0.47314,0.91178,0.000307,0.000307,0.000307
72,399.365,0.81901,0.48171,0.95722,0.96351,0.96103,0.98312,0.72738,0.93749,0.45822,0.91875,0.0002971,0.0002971,0.0002971
73,404.839,0.81659,0.4838,0.95883,0.96693,0.9557,0.97916,0.70161,1.02681,0.47836,0.94134,0.0002872,0.0002872,0.0002872
74,410.329,0.82368,0.48799,0.96445,0.96019,0.96629,0.97715,0.7318,0.92007,0.46506,0.91703,0.0002773,0.0002773,0.0002773
75,415.874,0.81364,0.48875,0.95936,0.95997,0.952,0.97368,0.74673,0.85577,0.48163,0.90783,0.0002674,0.0002674,0.0002674
