epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.63888,2.43005,5.75582,0.00896,0.01659,0.55208,0.05804,0.01651,1.29008,5.22257,0.00428,0.00032,0.00032,0.00032
2,15.1153,1.18032,3.23968,0.00382,0.02323,0.92562,0.40622,0.28611,1.08165,4.14061,0.00346,0.000643565,0.000643565,0.000643565
3,21.6375,1.03924,2.32149,0.00333,0.83814,0.35526,0.65823,0.45793,1.115,3.16577,0.00359,0.000960596,0.000960596,0.000960596
4,28.1601,0.93815,1.68856,0.00301,0.77132,0.73008,0.80231,0.59816,0.97188,2.02326,0.00315,0.0009703,0.0009703,0.0009703
5,34.7042,0.85959,1.30883,0.00274,0.78612,0.78496,0.85539,0.66255,0.86881,1.57497,0.00285,0.0009604,0.0009604,0.0009604
6,41.2239,0.79995,1.04841,0.00255,0.86546,0.80206,0.88122,0.67711,0.86029,1.26599,0.00277,0.0009505,0.0009505,0.0009505
7,47.6713,0.79519,0.86062,0.00252,0.85995,0.83414,0.88844,0.67895,0.89229,1.17381,0.00289,0.0009406,0.0009406,0.0009406
8,54.2231,0.70288,0.71747,0.00222,0.86356,0.83936,0.89684,0.70627,0.80592,1.04447,0.0026,0.0009307,0.0009307,0.0009307
9,60.7288,0.65221,0.61473,0.00206,0.88589,0.83867,0.89507,0.71633,0.77952,0.97145,0.00255,0.0009208,0.0009208,0.0009208
10,67.2918,0.61749,0.52926,0.00194,0.86197,0.84685,0.88741,0.69642,0.82026,0.88163,0.00265,0.0009109,0.0009109,0.0009109
11,73.7033,0.61222,0.47298,0.00192,0.88771,0.8431,0.8984,0.71574,0.79075,0.82469,0.00258,0.000901,0.000901,0.000901
12,80.174,0.58994,0.42835,0.00184,0.87551,0.86631,0.90547,0.71819,0.80193,0.82623,0.00258,0.0008911,0.0008911,0.0008911
13,86.5503,0.59387,0.39732,0.00186,0.88827,0.866,0.90634,0.71831,0.79717,0.77995,0.00263,0.0008812,0.0008812,0.0008812
14,92.9782,0.57965,0.36699,0.0018,0.87538,0.87095,0.89841,0.71574,0.79311,0.7743,0.00257,0.0008713,0.0008713,0.0008713
15,99.3373,0.52119,0.33296,0.00162,0.89221,0.85376,0.90238,0.72044,0.80088,0.79549,0.00265,0.0008614,0.0008614,0.0008614
16,105.787,0.51927,0.31086,0.00162,0.88407,0.86481,0.90874,0.72342,0.78744,0.71896,0.00254,0.0008515,0.0008515,0.0008515
17,112.29,0.49325,0.2851,0.00155,0.88719,0.8619,0.90788,0.71381,0.80384,0.71058,0.00259,0.0008416,0.0008416,0.0008416
18,119.029,0.48569,0.2726,0.00151,0.8988,0.86189,0.90736,0.71649,0.79964,0.72671,0.0026,0.0008317,0.0008317,0.0008317
19,125.561,0.48245,0.26541,0.0015,0.8827,0.85129,0.90658,0.71932,0.78803,0.69559,0.00257,0.0008218,0.0008218,0.0008218
20,132.062,0.4411,0.24047,0.00136,0.87744,0.85756,0.90475,0.72475,0.77993,0.70182,0.00254,0.0008119,0.0008119,0.0008119
21,138.439,0.41564,0.22585,0.00129,0.88685,0.87499,0.91391,0.72468,0.8014,0.68782,0.00259,0.000802,0.000802,0.000802
22,144.825,0.4226,0.21856,0.0013,0.88792,0.88619,0.91978,0.73985,0.76737,0.63063,0.00251,0.0007921,0.0007921,0.0007921
23,151.372,0.39303,0.20828,0.00122,0.9047,0.85428,0.91987,0.74001,0.76371,0.6678,0.00247,0.0007822,0.0007822,0.0007822
24,157.844,0.38108,0.19747,0.00117,0.89838,0.88363,0.92724,0.74626,0.76905,0.63501,0.0025,0.0007723,0.0007723,0.0007723
25,164.252,0.40592,0.20392,0.00125,0.92373,0.86104,0.92509,0.74241,0.76857,0.65122,0.0025,0.0007624,0.0007624,0.0007624
26,170.744,0.38482,0.19177,0.00118,0.8709,0.87879,0.91351,0.73804,0.77128,0.66509,0.00252,0.0007525,0.0007525,0.0007525
27,177.128,0.35015,0.17742,0.00108,0.8944,0.8616,0.91397,0.73376,0.76752,0.68755,0.00249,0.0007426,0.0007426,0.0007426
28,183.63,0.34782,0.17367,0.00106,0.88657,0.88973,0.92088,0.74113,0.74661,0.65619,0.00242,0.0007327,0.0007327,0.0007327
29,190.021,0.34771,0.17355,0.00107,0.90866,0.8714,0.91826,0.73771,0.75651,0.63834,0.00246,0.0007228,0.0007228,0.0007228
30,196.423,0.35469,0.16976,0.00109,0.90486,0.86734,0.91695,0.73817,0.75795,0.66024,0.00247,0.0007129,0.0007129,0.0007129
31,202.825,0.35257,0.16454,0.00109,0.90638,0.87897,0.9284,0.74328,0.76327,0.63821,0.00249,0.000703,0.000703,0.000703
32,209.412,0.31476,0.15167,0.00096,0.88418,0.88156,0.92247,0.74764,0.7547,0.641,0.00247,0.0006931,0.0006931,0.0006931
33,215.945,0.32771,0.15342,0.001,0.91426,0.87639,0.92597,0.73955,0.77585,0.64939,0.00251,0.0006832,0.0006832,0.0006832
34,222.324,0.33345,0.15154,0.00101,0.88871,0.88631,0.93029,0.74465,0.7619,0.63311,0.00246,0.0006733,0.0006733,0.0006733
35,228.651,0.29916,0.14051,0.00092,0.92504,0.8565,0.92579,0.74724,0.755,0.63777,0.00246,0.0006634,0.0006634,0.0006634
36,235.043,0.29473,0.13771,0.00092,0.8931,0.87182,0.91965,0.74058,0.7547,0.64881,0.00247,0.0006535,0.0006535,0.0006535
