epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.14512,2.65879,4.19488,1.62447,0.02248,0.80748,0.13193,0.04758,1.44778,4.08139,1.01018,0.00032,0.00032,0.00032
2,12.0048,1.65955,2.36905,1.09003,0.00377,0.10338,0.00186,0.00049,3.55407,4.70858,1.90664,0.000643565,0.000643565,0.000643565
3,17.6119,1.48591,1.88621,1.05077,0.49487,0.09964,0.19901,0.04074,2.87949,3.59233,1.77732,0.000960596,0.000960596,0.000960596
4,23.2803,1.37387,1.52197,1.01794,0.70887,0.64182,0.77672,0.40766,1.53199,2.01211,1.08365,0.0009703,0.0009703,0.0009703
5,29.0192,1.46083,1.3985,1.03569,0.76536,0.70877,0.81489,0.51005,1.20945,1.61973,0.99121,0.0009604,0.0009604,0.0009604
6,34.5963,1.31708,1.2503,1.02169,0.82216,0.79187,0.87593,0.52588,1.24011,1.23845,1.01541,0.0009505,0.0009505,0.0009505
7,40.1375,1.25331,1.14013,0.98563,0.8036,0.80133,0.8843,0.43436,1.65735,1.26457,1.16475,0.0009406,0.0009406,0.0009406
8,45.7466,1.20354,1.04781,0.97122,0.80844,0.78044,0.86648,0.49157,1.55278,1.21727,1.10773,0.0009307,0.0009307,0.0009307
9,51.3511,1.21474,0.9977,0.96516,0.78087,0.79927,0.86175,0.41329,1.76506,1.3493,1.26021,0.0009208,0.0009208,0.0009208
10,56.9504,1.18521,0.95059,0.96187,0.82522,0.83846,0.86636,0.30108,2.2023,1.21515,1.35219,0.0009109,0.0009109,0.0009109
11,62.5288,1.18855,0.92668,0.9665,0.83794,0.83369,0.88448,0.34284,2.10674,1.18307,1.33793,0.000901,0.000901,0.000901
12,68.1329,1.12998,0.88289,0.95791,0.90422,0.90303,0.95196,0.63545,1.15848,0.85863,0.98478,0.0008911,0.0008911,0.0008911
13,73.8545,1.08599,0.85287,0.9453,0.84981,0.79124,0.84553,0.39561,1.77433,1.07467,1.21242,0.0008812,0.0008812,0.0008812
14,79.4431,1.11298,0.84347,0.9544,0.86575,0.85829,0.92214,0.61756,1.09457,0.86572,0.97363,0.0008713,0.0008713,0.0008713
15,84.9923,1.1729,0.83399,0.95847,0.9235,0.90212,0.95934,0.64116,1.08386,0.74615,0.96357,0.0008614,0.0008614,0.0008614
16,90.59,1.06188,0.78258,0.93596,0.85624,0.82441,0.88066,0.28741,2.28603,1.19243,1.56109,0.0008515,0.0008515,0.0008515
17,96.1647,1.07953,0.77506,0.94137,0.93512,0.89841,0.95942,0.72114,0.8742,0.70422,0.91104,0.0008416,0.0008416,0.0008416
18,101.684,1.06267,0.7578,0.93653,0.89102,0.87496,0.93197,0.44831,1.68918,0.93213,1.18996,0.0008317,0.0008317,0.0008317
19,107.237,1.0404,0.74894,0.93356,0.89851,0.87317,0.95018,0.67308,0.97805,0.72655,0.94274,0.0008218,0.0008218,0.0008218
20,112.714,1.07962,0.75407,0.94098,0.93916,0.93123,0.97026,0.62259,1.22901,0.67036,1.01079,0.0008119,0.0008119,0.0008119
21,118.177,1.05165,0.726,0.93514,0.82631,0.78373,0.81507,0.24573,2.4584,1.05874,1.47292,0.000802,0.000802,0.000802
22,123.75,1.02131,0.70203,0.92461,0.8927,0.87151,0.90001,0.34366,2.06573,0.95608,1.32254,0.0007921,0.0007921,0.0007921
23,129.172,1.05967,0.70384,0.93766,0.89195,0.9169,0.95374,0.5308,1.48424,0.7903,1.0936,0.0007822,0.0007822,0.0007822
24,134.633,1.02246,0.68729,0.92754,0.93206,0.9049,0.95514,0.59137,1.22709,0.67894,1.01467,0.0007723,0.0007723,0.0007723
25,140.068,1.06583,0.7014,0.93266,0.91894,0.92517,0.96719,0.67978,1.02415,0.64057,0.95832,0.0007624,0.0007624,0.0007624
26,145.557,1.02879,0.68901,0.93188,0.93958,0.92472,0.97277,0.64508,1.148,0.67722,0.98311,0.0007525,0.0007525,0.0007525
27,151.001,1.07119,0.68938,0.93655,0.89799,0.91296,0.94545,0.39316,1.89158,0.91012,1.31868,0.0007426,0.0007426,0.0007426
28,156.454,1.04999,0.66152,0.92913,0.92408,0.91274,0.95979,0.64143,1.19267,0.68885,0.98916,0.0007327,0.0007327,0.0007327
29,161.951,0.99621,0.6486,0.92174,0.94696,0.91982,0.96858,0.70425,0.95582,0.60566,0.94076,0.0007228,0.0007228,0.0007228
30,167.446,1.03749,0.66234,0.92925,0.94033,0.89537,0.95946,0.58431,1.32331,0.71264,1.03109,0.0007129,0.0007129,0.0007129
31,172.979,1.04137,0.66712,0.9286,0.82248,0.8619,0.90675,0.40977,1.79567,1.03545,1.25979,0.000703,0.000703,0.000703
32,178.415,0.99,0.62512,0.9212,0.93311,0.925,0.96167,0.58891,1.32389,0.70128,1.03412,0.0006931,0.0006931,0.0006931
